isocode	concept	form	wordLength	longestClusterLength	vowConsRatio
fin	LEG	jɑlkɑ	5	2	0.6875
fin	BODY	kɛhɔ	4	1	1.0
fin	BODY	ruːmis	5	1	0.6875
fin	SKIN	ihɔ	3	1	1.8333333333333335
fin	BLOOD	ʋɛri	4	1	1.0
fin	VEIN	suɔ̯ni	5	1	1.4545454545454546
fin	TENDON	jænːɛ	4	1	1.0
fin	BONE	luː	2	1	1.0
fin	BRAIN	ɑi̯ʋɔt	5	1	1.4545454545454546
fin	HEART	sʏdæn	5	1	0.6875
fin	STOMACH	mɑhɑ	4	1	1.0
fin	STOMACH	ʋɑt͡sɑ	4	2	0.6875
fin	LIVER	mɑksɑ	4	2	0.6875
fin	BREATH	hɛŋki	5	2	0.6875
fin	BREATH	hɛŋːitʏs	7	1	0.7619047619047619
fin	HUNGER	nælkæ	5	2	0.6875
fin	TEAR (OF EYE)	kyːnɛl	5	1	0.6875
fin	TASTE	mɑkʊ	4	1	1.0
fin	SLEEP (STATE)	ʊni	3	1	1.8333333333333335
fin	DREAM	ʊni	3	1	1.8333333333333335
fin	SKY	tɑi̯ʋɑs	6	1	1.0
fin	SUN	ɑwriŋkɔ	7	2	0.7619047619047619
fin	MOON	kuː	2	1	1.0
fin	STAR	tæxti	5	2	0.6875
fin	AIR	ilmɑ	4	2	1.0
fin	WIND	tuːli	4	1	1.0
fin	WAVE	ɑːltɔ	4	2	1.0
fin	WATER	ʋɛsi	4	1	1.0
fin	ROCK	kiʋi	4	1	1.0
fin	GROUND	mɑː	2	1	1.0
fin	GROUND	mɑːpɛræ	6	1	1.0
fin	EARTH (SOIL)	mɑː	2	1	1.0
fin	DUST	pœlʏ	4	1	1.0
fin	SMOKE (EXHAUST)	sɑʋʊ	4	1	1.0
fin	SPARK	kipinæ	6	1	1.0
fin	FIRE	tʊli	4	1	1.0
fin	LIGHT (RADIATION)	ʋɑlɔ	4	1	1.0
fin	SHADE	ʋɑrjɔ	5	2	0.6875
fin	WEATHER	sæː	2	1	1.0
fin	FOG	sʊmʊ	4	1	1.0
fin	CLOUD	pilʋi	5	2	0.6875
fin	RAIN (PRECIPITATION)	sɑdɛ	4	1	1.0
fin	SNOW	lʊmi	4	1	1.0
fin	ICE	jæː	2	1	1.0
fin	FROST	hɑlːɑ	4	1	1.0
fin	FROST	pɑkːɑnɛn	7	1	0.7619047619047619
fin	COLD (CHILL)	ʋilʊ	4	1	1.0
fin	COLD (CHILL)	kʏlmyːs	6	2	0.5238095238095238
fin	HEAT	hɛlːɛ	4	1	1.0
fin	HEAT	kuːmuːs	5	1	0.6875
fin	HOARFROST	huːrːɛ	4	1	1.0
fin	RAINBOW	sɑtɛːŋkɑːri	9	2	0.8076923076923077
fin	THUNDER	jʏrinæ	6	1	1.0
fin	CURRENT (STREAM)	ʋirtɑws	6	2	0.4230769230769231
fin	FOAM	ʋɑːxtɔ	5	2	0.6875
fin	DIRT	lɔkɑ	4	1	1.0
fin	LAKE	jærʋi	5	2	0.6875
fin	SWAMP	suɔ̯	3	1	1.8333333333333335
fin	MOORLAND	ræmɛ	4	1	1.0
fin	PASTURE	niːtːʏ	4	1	1.0
fin	FOREST	mɛt͡sæ	4	2	0.6875
fin	HILL	mæki	4	1	1.0
fin	HILL	kʊmpʊ	5	2	0.6875
fin	HILL	kʊkːʊlɑ	6	1	1.0
fin	ELEVATION	mæki	4	1	1.0
fin	ELEVATION	kʊmpɑrɛ	7	2	0.7619047619047619
fin	MOUNTAIN	mæki	4	1	1.0
fin	MOUNTAIN	ʋuɔ̯ri	5	1	1.4545454545454546
fin	SUMMIT	lɑki	4	1	1.0
fin	SUMMIT	hui̯pːʊ	5	1	1.4545454545454546
fin	CAVE	luɔ̯lɑ	5	1	1.4545454545454546
fin	PRECIPICE	rinːɛ	4	1	1.0
fin	SPRING (OF WATER)	læxdɛ	5	2	0.6875
fin	RIVER	jɔki	4	1	1.0
fin	SHORE	rɑntɑ	5	2	0.6875
fin	COAST	rɑnːikːɔ	6	1	1.0
fin	MAINLAND	mɑnːɛr	5	1	0.6875
fin	SEA	mɛri	4	1	1.0
fin	BAY	lɑxti	5	2	0.6875
fin	ISLAND	sɑːri	4	1	1.0
fin	FLOWER	kʊkːɑ	4	1	1.0
fin	GRASS	ruɔ̯hɔ	5	1	1.4545454545454546
fin	ROOT	juːri	4	1	1.0
fin	TREE	puː	2	1	1.0
fin	TREE TRUNK	rʊŋkɔ	5	2	0.6875
fin	BARK	kuɔ̯ri	5	1	1.4545454545454546
fin	BARK	pɑrkːi	5	2	0.6875
fin	BRANCH	ɔksɑ	3	2	1.0
fin	LEAF	lɛxti	5	2	0.6875
fin	BIRCH	kɔi̯ʋʊ	5	1	1.4545454545454546
fin	PINE	mæntʏ	5	2	0.6875
fin	PINE	pɛtæjæ	6	1	1.0
fin	WILLOW	pɑjʊ	4	1	1.0
fin	FIR	kuːsi	4	1	1.0
fin	HORN (ANATOMY)	sɑrʋi	5	2	0.6875
fin	FEATHER	sʊlkɑ	5	2	0.6875
fin	FEATHER	hœɥhɛn	5	2	0.5238095238095238
fin	FUR	tɑljɑ	5	2	0.6875
fin	WING	siːpi	4	1	1.0
fin	CLAW	kʏnsi	4	2	0.6875
fin	PAW	kʏnsi	4	2	0.6875
fin	TAIL	hæntæ	5	2	0.6875
fin	TAIL	pʏrstœ	5	3	0.5238095238095238
fin	EGG	mʊnɑ	4	1	1.0
fin	NEST	pɛsæ	4	1	1.0
fin	LAIR	pɛsæ	4	1	1.0
fin	ANIMAL	ɛlæi̯n	5	1	1.4545454545454546
fin	FLOCK (OF ANIMALS)	lɑwmɑ	5	2	0.6875
fin	COW	lɛxmæ	5	2	0.6875
fin	BULL	sɔnːi	4	1	1.0
fin	HORSE	hɛʋɔnɛn	7	1	0.7619047619047619
fin	SHEEP	lɑmːɑs	5	1	0.6875
fin	PIG	sikɑ	4	1	1.0
fin	DOG	kɔi̯rɑ	5	1	1.4545454545454546
fin	CAT	kisːɑ	4	1	1.0
fin	BEAR	kɑrhʊ	4	2	0.6875
fin	SQUIRREL	ɔrɑʋɑ	5	1	1.4545454545454546
fin	ELK	hirʋi	5	2	0.6875
fin	FOX	kɛtːʊ	4	1	1.0
fin	HARE	jænis	5	1	0.6875
fin	MOUSE	hiːri	4	1	1.0
fin	WOLF	sʊsi	4	1	1.0
fin	BIRD	lintʊ	5	2	0.6875
fin	SWARM (OF BIRDS)	pɑrʋi	5	2	0.6875
fin	CHICKEN	kɑnɑ	4	1	1.0
fin	ROOSTER	kʊkːɔ	4	1	1.0
fin	GOOSE	hɑnhi	4	2	0.6875
fin	EAGLE	kɔtkɑ	5	2	0.6875
fin	DUCK	ɑŋkkɑ	4	2	1.0
fin	OWL	pœlːœ	4	1	1.0
fin	CRANE	kʊrki	5	2	0.6875
fin	CROW	ʋɑris	5	1	0.6875
fin	CUCKOO	kæki	4	1	1.0
fin	SWAN	jɔwt͡sɛn	6	3	0.4230769230769231
fin	FISH	kɑlɑ	4	1	1.0
fin	PERCH (FISH)	ɑxʋɛn	5	2	0.6875
fin	PIKE (FISH)	hɑwki	5	2	0.6875
fin	SNAKE	kæːrmɛ	5	2	0.6875
fin	WORM	mɑtɔ	4	1	1.0
fin	SPIDER	hæmæhækːi	8	1	1.0
fin	ANT	muːrɑhɑi̯nɛn	10	1	1.0
fin	LOUSE	tæi̯	3	1	1.8333333333333335
fin	MOSQUITO	sæːski	5	2	0.6875
fin	MOSQUITO	hʏtːʏnɛn	7	1	0.7619047619047619
fin	FLY (INSECT)	kærpænɛn	8	2	0.6153846153846154
fin	BUTTERFLY	pɛrhɔnɛn	7	2	0.6153846153846154
fin	BERRY	mɑrjɑ	5	2	0.6875
fin	APPLE	ɔmɛnɑ	5	1	1.4545454545454546
fin	MUSHROOM	siɛ̯ni	5	1	1.4545454545454546
fin	ONION	sipʊli	6	1	1.0
fin	SEED	siɛ̯mɛnɛt	8	1	1.0
fin	GRAIN	jʏʋæ	4	1	1.0
fin	GRAIN	ʋiljɑ	5	2	0.6875
fin	HAY	hɛi̯næ	5	1	1.4545454545454546
fin	SKIN (OF FRUIT)	kuɔ̯ri	5	1	1.4545454545454546
fin	PIT (POTHOLE)	kuɔ̯pːɑ	5	1	1.4545454545454546
fin	TRAP (PITFALL)	lɔwkːʊ	5	2	0.6875
fin	NOOSE	ɑnsɑ	3	2	1.0
fin	FOOTPRINT	jælki	5	2	0.6875
fin	ASH	tʊxkɑ	5	2	0.6875
fin	IRON	rɑwtɑ	5	2	0.6875
fin	GOLD	kʊltɑ	5	2	0.6875
fin	SILVER	hɔpɛɑ	5	1	1.4545454545454546
fin	COAL	hiːli	4	1	1.0
fin	GLASS	lɑsi	4	1	1.0
fin	CLAY	sɑʋi	4	1	1.0
fin	SAND	hiɛ̯kːɑ	5	1	1.4545454545454546
fin	PERSON	ixminɛn	7	2	0.7619047619047619
fin	MAN	miɛ̯s	4	1	1.0
fin	WOMAN	nɑi̯nɛn	6	1	1.0
fin	CHILD (YOUNG HUMAN)	lɑpsi	4	2	0.6875
fin	BOY	pɔi̯kɑ	5	1	1.4545454545454546
fin	GIRL	tʏtːœ	4	1	1.0
fin	FAMILY	pɛrhɛ	4	2	0.6875
fin	GRANDFATHER	isɔi̯sæ	6	1	1.909090909090909
fin	GRANDMOTHER	isɔæi̯ti	7	1	2.3636363636363633
fin	PARENTS	ʋɑnhɛmːɑt	7	2	0.6153846153846154
fin	FATHER	isæ	3	1	1.8333333333333335
fin	MOTHER	æi̯ti	4	1	2.666666666666667
fin	SON	pɔi̯kɑ	5	1	1.4545454545454546
fin	DAUGHTER	tʏtær	5	1	0.6875
fin	BROTHER	ʋɛli	4	1	1.0
fin	SISTER	siskɔ	5	2	0.6875
fin	UNCLE	ɛnɔ	3	1	1.8333333333333335
fin	UNCLE	sɛtæ	4	1	1.0
fin	AUNT	tæti	4	1	1.0
fin	HUSBAND	miɛ̯s	4	1	1.0
fin	HUSBAND	ɑʋiɔmiɛ̯s	8	1	1.625
fin	WIFE	ʋɑi̯mɔ	5	1	1.4545454545454546
fin	WIFE	ɑʋiɔʋɑi̯mɔ	9	1	1.9375
fin	JOY	ilɔ	3	1	1.8333333333333335
fin	JOY	riɛ̯mʊ	5	1	1.4545454545454546
fin	LAUGHTER	nɑwrʊ	5	2	0.6875
fin	HAPPINESS	ɔnːi	3	1	1.8333333333333335
fin	GRIEF	sʊrʊ	4	1	1.0
fin	GRIEF	mʊrhɛ	4	2	0.6875
fin	SPIRIT	hɛŋki	5	2	0.6875
fin	THOUGHT	ɑːtɛ	3	1	1.8333333333333335
fin	THOUGHT	ɑjɑtʊs	6	1	1.0
fin	MEMORY	mui̯sti	6	2	1.0
fin	MIND	ælʏ	3	1	1.8333333333333335
fin	MIND	jærki	5	2	0.6875
fin	MIND	ʏmːærːʏs	6	1	1.0
fin	MEANING	mɛrkitʏs	8	2	0.6153846153846154
fin	REASON	syː	2	1	1.0
fin	REASON	pɛrʊstɛ	7	2	0.7619047619047619
fin	TRUTH	tɔsi	4	1	1.0
fin	TRUTH	tɔtuːs	5	1	0.6875
fin	CONVERSATION	pʊhɛlʊ	6	1	1.0
fin	CONVERSATION	kɛskʊstɛlʊ	10	2	0.6774193548387097
fin	FAIRY TALE	sɑtʊ	4	1	1.0
fin	STORY	tɑrinɑ	6	1	1.0
fin	STORY	kɛrtɔmʊs	8	2	0.6153846153846154
fin	MESSAGE	tiɛ̯tɔ	5	1	1.4545454545454546
fin	MESSAGE	ilmɔi̯tʊs	8	2	1.0
fin	NEWS	uːtinɛn	6	1	1.0
fin	NAME	nimi	4	1	1.0
fin	SPEECH	pʊhɛ	4	1	1.0
fin	LANGUAGE	kiɛ̯li	5	1	1.4545454545454546
fin	VOICE	æːni	3	1	1.8333333333333335
fin	WORD	sɑnɑ	4	1	1.0
fin	SIGN	mɛrkːi	5	2	0.6875
fin	CALL (APPEAL)	kʊt͡sʊ	4	2	0.6875
fin	NOISE	mɛlʊ	4	1	1.0
fin	NOISE	hælinæ	6	1	1.0
fin	SOUND OR NOISE	æːni	3	1	1.8333333333333335
fin	TONE (MUSIC)	sæʋɛl	5	1	0.6875
fin	SONG	lɑwlʊ	5	2	0.6875
fin	QUIET	lɛpɔ	4	1	1.0
fin	QUIET	rɑwhɑ	4	2	0.6875
fin	PEOPLE	kɑnsɑ	4	2	0.6875
fin	WORK (LABOUR)	tyœ̯	3	1	1.8333333333333335
fin	GUEST	ʋiɛ̯rɑs	6	1	1.0
fin	GIFT	lɑhjɑ	5	2	0.6875
fin	GAME	pɛli	4	1	1.0
fin	GAME	lɛi̯kːi	5	1	1.4545454545454546
fin	COMPANIONSHIP	sɛʊrɑ	5	1	1.4545454545454546
fin	FRIEND	ʏstæʋæ	6	2	1.0
fin	COUNT (QUANTITY)	lʊkʊmæːræ	8	1	1.0
fin	KIND (THING)	lɑji	4	1	1.0
fin	PIECE	pɑlɑ	4	1	1.0
fin	PIECE	kɑpːɑlɛ	6	1	1.0
fin	PART	ɔsɑ	3	1	1.8333333333333335
fin	HALF	puɔ̯li	5	1	1.4545454545454546
fin	CIRCLE	ʏmpʏræ	6	2	1.0
fin	CROSS	risti	5	2	0.6875
fin	LINE	ʋiːʋɑ	4	1	1.0
fin	STROKE (OF PEN)	piːrtɔ	5	2	0.6875
fin	GAP (DISTANCE)	ʋæli	4	1	1.0
fin	GAP (DISTANCE)	ʋæljyːs	6	2	0.5238095238095238
fin	DISTANCE	ɛtæi̯syːs	7	1	1.3125
fin	AREA	sɛʊtʊ	5	1	1.4545454545454546
fin	SPACE (AVAILABLE)	tilɑ	4	1	1.0
fin	PLACE (POSITION)	kɔxtɑ	5	2	0.6875
fin	PLACE (POSITION)	pɑi̯kːɑ	5	1	1.4545454545454546
fin	SIDE	siʋʊ	4	1	1.0
fin	SIDE	kʏlki	5	2	0.6875
fin	MIDDLE	kɛskʊs	6	2	0.5238095238095238
fin	MIDDLE	puɔ̯liʋæli	9	1	1.2380952380952381
fin	ITEM	kɑlʊ	4	1	1.0
fin	ITEM	ɛsinɛ	5	1	1.4545454545454546
fin	THING	ɑsiɑ	4	1	2.666666666666667
fin	FRINGE	æːri	3	1	1.8333333333333335
fin	FRINGE	sʏrjæ	5	2	0.6875
fin	EDGE	særmæ	5	2	0.6875
fin	CORNER	nʊrkːɑ	5	2	0.6875
fin	TIP (OF OBJECT)	tɛræ	4	1	1.0
fin	TIP (OF OBJECT)	kærki	5	2	0.6875
fin	END (OF SPACE)	pæː	2	1	1.0
fin	END (OF SPACE)	pɛræ	4	1	1.0
fin	HOLE	kɔlɔ	4	1	1.0
fin	HOLE	rɛi̯kæ	5	1	1.4545454545454546
fin	PATTERN	kʊʋiɔ	5	1	1.4545454545454546
fin	SIZE (OF OBJECT)	kɔkɔ	4	1	1.0
fin	SIZE (OF OBJECT)	suːruːs	5	1	0.6875
fin	LENGTH	pituːs	5	1	0.6875
fin	HEIGHT	kɔrkɛʊs	7	2	0.7619047619047619
fin	WEIGHT	pɑi̯nɔ	5	1	1.4545454545454546
fin	AMOUNT	mæːræ	4	1	1.0
fin	HEAP	kɑsɑ	4	1	1.0
fin	BOAT	ʋɛnɛ	4	1	1.0
fin	PADDLE	ɑi̯rɔ	4	1	2.666666666666667
fin	SLED	rɛki	4	1	1.0
fin	SLED	kɛlkːɑ	5	2	0.6875
fin	SKI	sʊksi	4	2	0.6875
fin	CAMPFIRE	nuɔ̯tiɔ	6	1	1.909090909090909
fin	LOAD	kuɔ̯rmɑ	6	2	1.0
fin	WALK (MANNER)	kʊlkʊ	5	2	0.6875
fin	WALK (MANNER)	kæɥnti	6	3	0.5238095238095238
fin	STEP	ɑskɛl	5	2	0.6875
fin	NORTH	pɔhjɔi̯nɛn	9	2	0.8076923076923077
fin	SOUTH	ɛtɛlæ	5	1	1.4545454545454546
fin	WEST	lænsi	4	2	0.6875
fin	EAST	itæ	3	1	1.8333333333333335
fin	WOOD	puː	2	1	1.0
fin	BOARD	lɑwtɑ	5	2	0.6875
fin	SLAB	lɛʋʏ	4	1	1.0
fin	SUPPORT (OF OBJECT)	nɔjɑ	4	1	1.0
fin	POST	tɑŋkɔ	5	2	0.6875
fin	STICK	kɛpːi	4	1	1.0
fin	TUBE	pʊtki	5	2	0.6875
fin	HOUSE	tɑlɔ	4	1	1.0
fin	HOME	kɔti	4	1	1.0
fin	STOVE	uːni	3	1	1.8333333333333335
fin	FLOOR	lɑtːiɑ	5	1	1.4545454545454546
fin	TABLE	pœɥtæ	5	2	0.6875
fin	CHAIR	tuɔ̯li	5	1	1.4545454545454546
fin	CRADLE	kɛxtɔ	5	2	0.6875
fin	BED	sæŋkʏ	5	2	0.6875
fin	SHELF	hʏlːʏ	4	1	1.0
fin	BOX	ɑrkːʊ	4	2	1.0
fin	BOX	kirstʊ	5	3	0.5238095238095238
fin	BOX	lɑːtikːɔ	6	1	1.0
fin	WINDOW	ikːʊnɑ	5	1	1.4545454545454546
fin	DOOR	ɔʋi	3	1	1.8333333333333335
fin	GATE	pɔrtːi	5	2	0.6875
fin	FENCE	ɑi̯tɑ	4	1	2.666666666666667
fin	ROOF	kɑtːɔ	4	1	1.0
fin	LADDER	tikːɑːt	5	1	0.6875
fin	LADDER	tikɑpuːt	7	1	0.7619047619047619
fin	BROOM	luːtɑ	4	1	1.0
fin	SPADE	lɑpiɔ	5	1	1.4545454545454546
fin	SHOVEL	lɑpiɔ	5	1	1.4545454545454546
fin	FORK	hɑːrʊkːɑ	6	1	1.0
fin	SPOON	lʊsikːɑ	6	1	1.0
fin	KNIFE	ʋɛi̯t͡si	5	2	1.0
fin	NAIL (TOOL)	nɑwlɑ	5	2	0.6875
fin	NET	ʋɛrkːɔ	5	2	0.6875
fin	HOOK	hɑkɑ	4	1	1.0
fin	HOOK	kɔwkːʊ	5	2	0.6875
fin	HANDLE	ripɑ	4	1	1.0
fin	HANDLE	kɑxʋɑ	5	2	0.6875
fin	LOCK	lʊkːɔ	4	1	1.0
fin	PICTURE	kʊʋɑ	4	1	1.0
fin	IDOL	kʊʋiɔ	5	1	1.4545454545454546
fin	DOLL	nʊkːɛ	4	1	1.0
fin	POUCH	pʊsːi	4	1	1.0
fin	BUNDLE	nipːʊ	4	1	1.0
fin	BUNDLE	kimpːʊ	5	2	0.6875
fin	BAG	lɑwkːʊ	5	2	0.6875
fin	BUCKET	sɑŋkɔ	5	2	0.6875
fin	BUCKET	æmpæri	6	2	1.0
fin	LID (COVER, CAP)	kɑnsi	4	2	0.6875
fin	DISH	ɑstiɑ	5	2	1.4545454545454546
fin	SACK	sækːi	4	1	1.0
fin	CUP	kʊpːi	4	1	1.0
fin	POT	pɑtɑ	4	1	1.0
fin	KETTLE	kɑtːilɑ	6	1	1.0
fin	MEAL	syœ̯nti	6	2	1.0
fin	FOOD	ruɔ̯kɑ	5	1	1.4545454545454546
fin	FOOD	rɑʋintɔ	7	2	0.7619047619047619
fin	MEAT	lihɑ	4	1	1.0
fin	MUSH	puːrɔ	4	1	1.0
fin	BREAD	lɛi̯pæ	5	1	1.4545454545454546
fin	SLICE	ʋiːpɑlɛ	6	1	1.0
fin	FAT (ORGANIC SUBSTANCE)	rɑsʋɑ	5	2	0.6875
fin	BUTTER	ʋɔi̯	3	1	1.8333333333333335
fin	OIL (ORGANIC SUBSTANCE)	œljʏ	4	2	1.0
fin	SALT	suɔ̯lɑ	5	1	1.4545454545454546
fin	SOUP	kɛi̯tːɔ	5	1	1.4545454545454546
fin	HONEY	hʊnɑjɑ	6	1	1.0
fin	MILK	mɑi̯tɔ	5	1	1.4545454545454546
fin	TEA	tɛː	2	1	1.0
fin	LEATHER	nɑxkɑ	5	2	0.6875
fin	WOOL	ʋilːɑ	4	1	1.0
fin	CLOTH	kɑŋːɑs	5	1	0.6875
fin	NEEDLE (FOR SEWING)	nɛʊlɑ	5	1	1.4545454545454546
fin	THREAD	lɑŋkɑ	5	2	0.6875
fin	BUTTON	nɑpːi	4	1	1.0
fin	KNOT	sɔlmʊ	5	2	0.6875
fin	PAINT (PIGMENTS)	mɑːli	4	1	1.0
fin	CLOTHES	ʋɑːtːɛːt	5	1	0.6875
fin	SHIRT	pɑi̯tɑ	5	1	1.4545454545454546
fin	COLLAR	kɑwlʊs	6	2	0.5238095238095238
fin	SLEEVE	hihɑ	4	1	1.0
fin	TROUSERS	hɔwsʊt	5	2	0.5238095238095238
fin	BELT	ʋyœ̯	3	1	1.8333333333333335
fin	CAP	lɑkːi	4	1	1.0
fin	SHOE	kɛŋkæ	5	2	0.6875
fin	BOOT	sɑːpɑs	5	1	0.6875
fin	RING	sɔrmʊs	6	2	0.5238095238095238
fin	RIBBON	nɑwhɑ	4	2	0.6875
fin	COMB	kɑmpɑ	5	2	0.6875
fin	MIRROR	pɛi̯li	5	1	1.4545454545454546
fin	STRAP	hixnɑ	5	2	0.6875
fin	STRING	nɑrʊ	4	1	1.0
fin	STRING	nuɔ̯rɑ	5	1	1.4545454545454546
fin	LEASH	tɑlʊtʊshixnɑ	11	2	0.7222222222222222
fin	BLANKET	pɛi̯tɛ	5	1	1.4545454545454546
fin	PILLOW	tyːnʏ	4	1	1.0
fin	PILLOW	piɛ̯lʊs	6	1	1.0
fin	TOWEL	pyːhɛliːnɑ	8	1	1.0
fin	STRENGTH	ʋɑxʋuːs	6	2	0.5238095238095238
fin	HEALTHY	tɛrʋɛɥs	6	2	0.4230769230769231
fin	DISEASE	tɑwti	5	2	0.6875
fin	DISEASE	sɑi̯rɑws	6	2	0.7619047619047619
fin	PAIN	kipʊ	4	1	1.0
fin	PAIN	særkʏ	5	2	0.6875
fin	WOUND	hɑːʋɑ	4	1	1.0
fin	FEVER	kuːmɛ	4	1	1.0
fin	MEDICINE	læːkɛ	4	1	1.0
fin	BRIDGE	siltɑ	5	2	0.6875
fin	WELL	kɑi̯ʋɔ	5	1	1.4545454545454546
fin	PATH	pɔlkʊ	5	2	0.6875
fin	PATH OR ROAD	tiɛ̯	3	1	1.8333333333333335
fin	ROAD	kɑtʊ	4	1	1.0
fin	VILLAGE	kʏlæ	4	1	1.0
fin	TOWN	kɑwpʊŋki	8	2	0.6153846153846154
fin	LETTER	kirjɛ	5	2	0.6875
fin	BOOK	kirjɑ	5	2	0.6875
fin	CHARACTER	kirjɑi̯n	7	2	0.7619047619047619
fin	NEWSPAPER	lɛxti	5	2	0.6875
fin	NEWSPAPER	sɑnɔmɑlɛxti	11	2	0.8387096774193549
fin	LIFE	ɛlɔ	3	1	1.8333333333333335
fin	LIFE	ɛlæmæ	5	1	1.4545454545454546
fin	DEATH	kuɔ̯lɛmɑ	7	1	1.3125
fin	GRAVE	hɑwtɑ	5	2	0.6875
fin	CHURCH	kirkːɔ	5	2	0.6875
fin	SIN	sʏnti	5	2	0.6875
fin	GOD	jʊmɑlɑ	6	1	1.0
fin	WORKER	tyœ̯læi̯nɛn	9	1	1.2380952380952381
fin	BOSS	pæːlːikːœ	6	1	1.0
fin	MASTER	mɛstɑri	7	2	0.7619047619047619
fin	PHYSICIAN	læːkæri	6	1	1.0
fin	TEACHER	ɔpɛtːɑjɑ	7	1	1.3125
fin	MONEY	rɑhɑ	4	1	1.0
fin	BUSINESS	liːkɛ	4	1	1.0
fin	SHOP	puɔ̯ti	5	1	1.4545454545454546
fin	SHOP	kɑwpːɑ	5	2	0.6875
fin	PRICE	hintɑ	5	2	0.6875
fin	WARE	tɑʋɑrɑ	6	1	1.0
fin	BENEFIT	hyœ̯tʏ	5	1	1.4545454545454546
fin	WEALTH	rikːɑws	5	2	0.5238095238095238
fin	WORLD	mɑːilmɑ	6	2	1.0
fin	COUNTRY	mɑː	2	1	1.0
fin	STATE (POLITICS)	ʋɑltiɔ	6	2	1.0
fin	KING	kʊniŋːɑs	7	1	0.7619047619047619
fin	POWER	mɑxti	5	2	0.6875
fin	BORDER	rɑjɑ	4	1	1.0
fin	WAR	sɔtɑ	4	1	1.0
fin	ENEMY	ʋihɔlːinɛn	9	1	0.8076923076923077
fin	VIOLENCE	ʋækiʋɑltɑ	9	2	0.8076923076923077
fin	BOW	jɔwsi	4	2	0.6875
fin	ARROW	nuɔ̯li	5	1	1.4545454545454546
fin	GUN	kiʋæːri	6	1	1.0
fin	MISTAKE	ʋikɑ	4	1	1.0
fin	MISTAKE	ʋirhɛ	4	2	0.6875
fin	UNTRUTH	ʋɑlhɛ	4	2	0.6875
fin	DAMAGE (INJURY)	ʋɑwriɔ	6	2	1.0
fin	DAMAGE (INJURY)	ʋɑhiŋkɔ	7	2	0.7619047619047619
fin	BAD LUCK	ʋɑhiŋkɔ	7	2	0.7619047619047619
fin	BAD LUCK	ɔnːɛtːɔmuːs	8	1	1.0
fin	FAULT	syː	2	1	1.0
fin	AGE	ikæ	3	1	1.8333333333333335
fin	END (OF TIME)	lɔpːʊ	4	1	1.0
fin	TIME	ɑi̯kɑ	4	1	2.666666666666667
fin	DAY (NOT NIGHT)	pæi̯ʋæ	5	1	1.4545454545454546
fin	MORNING	ɑːmʊ	3	1	1.8333333333333335
fin	MORNING	huɔ̯mɛn	6	1	1.0
fin	MIDDAY	kɛskipæi̯ʋæ	10	2	1.0
fin	EVENING	iltɑ	4	2	1.0
fin	NIGHT	yœ̯	2	0	11.0
fin	WEEK	ʋiːkːɔ	4	1	1.0
fin	MONTH	kuːkɑwsi	6	2	0.7619047619047619
fin	YEAR	ʋuɔ̯si	5	1	1.4545454545454546
fin	SPRINGTIME	kɛʋæt	5	1	0.6875
